gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3044863951;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69972380;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;43.263643;-123.46677;2;;;;;;2020-10-04T20:18:00;4;10;2020;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;69972380;;Matt Hunter;2021-02-22T06:07:42;CC_BY_NC_4_0;Matt Hunter;Matt Hunter;;;2021-05-09T23:16:39.260Z;;COORDINATE_ROUNDED
3039456588;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69171385;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.599111;-123.230617;1076;;;;;;2021-02-06T16:12:00;6;2;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;69171385;;Patricia;2021-02-07T00:14:09;CC_BY_NC_4_0;Patricia;Patricia;;;2021-05-09T22:56:36.517Z;StillImage;COORDINATE_ROUNDED
3039413580;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69111517;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Washington;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.674657;-122.727935;3991;;;;;;2021-02-05T15:36:00;5;2;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;69111517;;Fern;2021-02-06T00:00:15;CC_BY_NC_4_0;Fern;Fern;;;2021-05-09T22:35:06.159Z;StillImage;COORDINATE_ROUNDED
3039317819;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69293740;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;;California;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;41.202092;-120.385338;5;;;;;;2021-02-07T12:34:24;7;2;2021;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;69293740;;Jade Keehn;2021-02-09T05:27:41;CC_BY_NC_4_0;Jade Keehn;Jade Keehn;;;2021-05-09T22:57:37.033Z;StillImage;COORDINATE_ROUNDED
3039155848;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/68697858;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;43.369629;-123.255306;8;;;;;;2021-01-14T13:44:00;14;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;68697858;;Matt Hunter;2021-01-27T21:27:19;CC_BY_NC_4_0;Matt Hunter;Matt Hunter;;;2021-05-09T23:16:35.183Z;;COORDINATE_ROUNDED
3032015972;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/68160732;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.125126;-123.050481;101192;;;;;;2021-01-14T16:21:00;14;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;68160732;;rmei;2021-01-16T18:23:01;CC_BY_NC_4_0;michelep;michelep;;;2021-05-09T23:16:07.159Z;StillImage;COORDINATE_ROUNDED
3031996173;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/68292312;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.333808;-122.351279;22;;;;;;2021-01-18T12:57:36;18;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;68292312;;Oliver Saunders Wilder;2021-01-19T03:07:56;CC_BY_NC_4_0;Belinda Larsen;Belinda Larsen;;;2021-05-09T23:16:25.074Z;StillImage;COORDINATE_ROUNDED
3020142972;835ff8be-ea5c-45e4-b3f3-126852ac56fe;urn:catalog:NYSM:ZM:14772;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;[not recorded].;Washington;PRESENT;1;baa8ccb1-8d9d-4940-93a6-2241c8a04ba5;46.187649;-122.682766;46928;;;;;;1901-01-01T00:00:00;;;1901;2435099;2435099;PRESERVED_SPECIMEN;NYSM;ZM;14772;;;;CC0_1_0;;;;;2021-03-30T11:29:01.626Z;;INSTITUTION_MATCH_FUZZY
3018138078;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/67636649;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;42.070495;-122.642037;2359;;;;;;2021-01-05T13:41:41;5;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;67636649;;davidcothran;2021-01-05T21:56:04;CC_BY_NC_4_0;davidcothran;davidcothran;;;2021-05-09T22:56:55.307Z;StillImage;COORDINATE_ROUNDED
3018089979;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/67550459;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.444227;-123.278956;248;;;;;;2021-01-03T16:38:00;3;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;67550459;;Patricia;2021-01-04T02:09:26;CC_BY_NC_4_0;Patricia;Patricia;;;2021-05-09T22:34:27.297Z;StillImage;COORDINATE_ROUNDED
